sl.num,Grid Number,City name,Road_length,Network Density ,CA, NP , LPI , CLUMPY , AI , NLSI,population
1,G1,New Delhi,1898.331177,17.51392436,4054.11,5299,3.782,0.6808,79.607,0.2039,249998
2,G2,Belgaum,1313.717944,11.08439612,1534.05,5999,0.2348,0.6374,68.4216,0.3158,488157
3,G3,Gulbarga,1714.513607,14.5741595,2377.14,5722,0.8446,0.6529,72.1841,0.2782,483615
4,G4,Jamnagar,1454.757045,12.76456268,2141.93,3003,1.8571,0.7332,78.2721,0.2173,479920
5,G5,Dhulia,1164.130948,10.1063499,1608.71,4145,0.6299,0.6927,73.5657,0.2643,479073
6,G6,Gaya,417.6802901,3.727731551,1383.48,2077,4.9016,0.7827,80.8771,0.1912,474093
7,G7,Jalgaon,418.2077478,3.633418881,1952.07,2194,1.5333,0.7572,79.8241,0.2018,460468
8,G8,Kurnool,872.2892714,7.358293051,1683.16,3103,1.1374,0.7138,75.337,0.2466,457633
9,G9,Udaipur,888.9016838,7.922950447,2945.44,3898,6.9557,0.6994,77.7019,0.223,451100
10,G10,Bellary,1195.320208,10.05134608,1420,3717,1.1636,0.6875,72.419,0.2758,445388
11,G11,Sangli,888.1495621,7.531253414,1001.88,5968,0.1357,0.6405,67.1026,0.329,436639
12,G12,Tuticorin,591.6703764,4.862303641,2040.25,3974,0.798,0.7269,77.2035,0.228,436094
13,G13,Calicut,572.7026436,4.741422451,1550.06,5955,0.4843,0.6763,71.768,0.2823,431560
14,G14,Akola,993.5261723,8.615939738,1365.85,3514,1.2448,0.6924,72.8026,0.272,425817
15,G15,Bhagalpur,213.5649872,1.91363486,1304.43,2051,1.9831,0.7767,80.2847,0.1972,410210
16,G16,Quilon,1010.23171,8.304247186,2200.77,7301,1.7836,0.6586,71.9946,0.2801,397419
17,G17,Sikar,526.7465034,4.815485734,2193.4,4603,3.6032,0.7189,77.5325,0.2247,400000
18,G18,Bhatpara,608.582381,5.35503195,2027.85,5715,0.9992,0.6678,72.603,0.274,386019
19,G19,Kakinada,933.4990401,7.918531426,1398.63,3412,0.5967,0.6963,73.1961,0.268,384182
20,G20,Bhilwara,396.11852,3.552258931,1859.6,3355,4.4436,0.685,73.7399,0.2626,389911
21,G21,Nizamabad,1117.741374,9.571890025,1576.07,2535,4.5636,0.7211,75.7592,0.2424,388505
22,G22,Panihati,1503.371934,13.21172495,4837.6,4160,10.0918,0.65,79.6459,0.2035,377347
23,G23,Parbhani,833.9218709,7.166508759,1081.38,1998,2.2502,0.7052,73.2068,0.2679,378326
24,G24,Rohtak,727.8642906,6.733292069,1804.97,2600,3.2068,0.7367,77.9677,0.2203,374292
25,G25,Latur,1274.815281,10.90018788,1625.76,3615,1.7094,0.6885,73.1172,0.2688,374394
26,G26,Rajapalaiyam,353.8419123,2.912896091,1023.58,2415,1.4094,0.7346,75.6605,0.2434,369991
27,G27,Ahmadnagar,1148.113191,9.85565617,1725.65,4116,1.7558,0.7094,75.2427,0.2476,350859
28,G28,Rajahmundry,879.2457735,7.460257083,1608.74,3249,1.184,0.7137,75.2503,0.2475,341831
29,G29,Cuddapah,453.1061119,3.798436826,1190.51,2596,0.6552,0.7154,74.323,0.2568,344893
30,G30,Muzaffarpur,650.9420731,5.874541358,2740.06,3681,2.3474,0.7387,80.183,0.1982,333200
31,G31,Alwar,1237.129164,11.30519934,2025.19,3883,1.923,0.6639,72.4638,0.2754,341422
32,G32,Brahmapur,676.4528069,5.814980434,1577.09,2554,7.5264,0.7715,80.1788,0.1982,324726
33,G33,Kamarhati,1534.410968,13.48257586,5268.61,3703,8.8614,0.6558,81.2639,0.1874,330211
34,G34,Mathura,989.0003229,9.032648891,2056.51,3552,2.6842,0.6941,74.9212,0.2508,330511
35,G35,Patiala,1145.084294,10.74013166,2487.25,4100,3.9554,0.6996,76.8227,0.2318,329224
36,G36,Saugor,210.3228472,1.863845575,957.31,1963,1.558,0.7713,79.0074,0.2099,328240
37,G37,Bijapur,1372.551405,11.63630443,826.17,6169,0.1104,0.617,64.3755,0.3562,327427
38,G38,Shahjanpur,308.1610186,2.823997115,1420.75,1566,3.3884,0.7769,80.5541,0.1945,320434
39,G39,Junagadh,855.3477453,7.456182294,1312.21,2309,1.3989,0.7339,76.3833,0.2362,320250
40,G40,Trichur,1552.325036,12.82110772,2313.38,11989,0.4017,0.6023,67.7894,0.3221,315596
41,G41,Barddhaman,409.8158985,3.616097909,1748.05,2929,6.8942,0.741,78.0579,0.2194,314265
42,G42,Purnea,307.2812217,2.765289772,1589.46,3023,4.2359,0.7473,78.3231,0.2168,310817
43,G43,Sambalpur,722.7509894,6.298220689,1071.3,2811,0.8823,0.709,73.5217,0.2648,310852
44,G44,Firozabad,428.8098652,3.904165258,1682.94,1851,4.2846,0.7473,78.4449,0.2156,306409
45,G45,Hisar,798.7663568,7.406655904,2120.29,3805,2.9468,0.7321,78.424,0.2158,307024
46,G46,Rampur,273.9741341,2.531795732,1316.58,1459,6.0449,0.7819,80.7613,0.1924,296418
